GNL_CD,GEN_SHORT,GEN_LONG
225401ATB,saccharomyces boulardii,saccharomyces boulardii 0.113g
225402AGN,saccharomyces boulardii,saccharomyces boulardii 0.2825g
225403ATB,Saccharomyces boulardii,Saccharomyces boulardii 56.5mg
225402ACH,saccharomyces boulardii,saccharomyces boulardii
225402ATB,Saccharomyces boulardii,Saccharomyces boulardii 282.5mg
225401AGN,saccharomyces cerevisiae hansen CBS,saccharomyces cerevisiae hansen CBS-5926 113mg
651401ATB,sacubitril/valsartan sodium hydrate,sacubitril/valsartan sodium hydrate (as sacubitril/valsartan) 0.1g
651402ATB,sacubitril/valsartan sodium hydrate,sacubitril/valsartan sodium hydrate (as sacubitril/valsartan) 0.2g
651403ATB,sacubitril/valsartan sodium hydrate,sacubitril/valsartan sodium hydrate (as sacubitril/valsartan) 50mg
225501ATB,salbutamol sulfate,salbutamol sulfate (as salbutamol 2mg)
225503ATB,salbutamol sulfate,salbutamol sulfate (as salbutamol 4mg)
225503ATR,salbutamol sulfate,salbutamol sulfate (as salbutamol 4mg)
225507ATR,salbutamol sulfate,salbutamol sulfate (as salbutamol 8mg)
225530CSI,salbutamol sulfate,salbutamol sulfate (as salbutamol 2.5mg(1mg/mL))
225531CSI,salbutamol sulfate,salbutamol sulfate (as salbutamol 20mg(0.1mg/ug))
225506CSI,salbutamol sulfate,salbutamol sulfate 3mg
225730BIJ,salcatonin,salcatonin 50I.U(50I.U/mL)
225706CSI,salcatonin,salcatonin 2800I.U
225711CSI,salcatonin,salcatonin 3080I.U
225901ATB,salsalate,salsalate 0.5g
515001ATB,sapropterin dihydrochloride,sapropterin dihydrochloride 0.1g
226101ATB,sarpogrelate hydrochloride,sarpogrelate hydrochloride 0.1g
226103ATR,sarpogrelate hydrochloride,sarpogrelate hydrochloride 0.3g
613301ATB,saxagliptin hydrate,saxagliptin hydrate (as saxagliptin 2.5mg)
613302ATB,saxagliptin hydrate,saxagliptin hydrate (as saxagliptin 5mg)
226301ATB,secnidazole,secnidazole 500mg
644601BIJ,secukinumab,secukinumab 0.15g
226401ATB,selegiline hydrochloride,selegiline hydrochloride 5mg
652301ATB,selexipag,selexipag 0.2mg
652302ATB,selexipag,selexipag 0.8mg
652303ATB,selexipag,selexipag 0.4mg
226702ATB,serenoa repens lipidosterolic ext.,serenoa repens lipidosterolic ext. 0.32g
226902CTB,sertaconazole nitrate,sertaconazole nitrate 0.5g
226931COM,sertaconazole nitrate,sertaconazole nitrate 0.4g(20mg/g)
226932COM,sertaconazole nitrate,sertaconazole nitrate 0.6g(20mg/g)
226901COM,sertaconazole nitrate,sertaconazole nitrate 20mg
227001ATB,sertraline hydrochloride,sertraline hydrochloride (as sertraline 50mg)
227002ATB,sertraline hydrochloride,sertraline hydrochloride (as sertraline 0.1g)
517701AGN,sevelamer carbonate,sevelamer carbonate 0.8g
517701ATB,sevelamer carbonate,sevelamer carbonate 800mg
428501ATB,sevelamer HCl,sevelamer HCl 400mg
428502ATB,sevelamer hydrochloride,sevelamer hydrochloride 0.8g
227330CLQ,sevoflurane,sevoflurane 250mL(1mL/mL)
227301CLQ,sevoflurane,sevoflurane 1ml
553301ATB,sildenafil citrate,sildenafil citrate(as sildenafil 20mg)
504202ATB,silodosin,silodosin 4mg
504203ATB,silodosin,silodosin 8mg
647901BIJ,siltuximab,siltuximab 0.1g
227430COM,silver sulfadiazine,silver sulfadiazine 0.2g(10mg/g)
227431COM,silver sulfadiazine,silver sulfadiazine 0.3g(10mg/g)
227432COM,silver sulfadiazine,silver sulfadiazine 4.5g(10mg/g)
227401COM,silver sulfadiazine,silver sulfadiazine 10mg
227601ATB,simaldrate,simaldrate 0.32g
227730ASY,simethicone,simethicone 0.2g(20mg/mL)
227731ASY,simethicone,simethicone 10g(20mg/mL)
227734ASY,simethicone,simethicone 2g(20mg/mL)
227735ASY,simethicone,simethicone 0.24g(20mg/mL)
227703AGN,simethicone,simethicone 80mg
227801ATB,simvastatin,simvastatin 20mg
227801ATR,simvastatin,simvastatin 20mg
227802ATB,simvastatin,simvastatin 40mg
227806ATB,simvastatin,simvastatin 5mg
227805ATB,simvastatin,simvastatin 80mg
485501ATB,sirolimus,sirolimus 1mg
485502ATB,sirolimus,sirolimus 2mg
227902BIJ,sisomicin sulfate,sisomicin sulfate 50mg
501101ATB,sitagliptin phosphate hydrate,sitagliptin phosphate hydrate (as sitagliptin 25mg)
501102ATB,sitagliptin phosphate hydrate,sitagliptin phosphate hydrate (as sitagliptin 50mg)
501103ATB,sitagliptin phosphate hydrate,sitagliptin phosphate hydrate (as sitagliptin 0.1g)
474501BIJ,sivelestat sodium hydrate,sivelestat sodium hydrate 0.1g
228130BIJ,sizofiran,sizofiran 20mg(10mg/mL)
228101BIJ,sizofiran,sizofiran 20mg
228202ATB,sobrerol,sobrerol 0.2g
228201ATB,sobrerol,sobrerol 100mg
228301ATB,sodium alendronate,sodium alendronate (as alendronic acid 10mg)
228302ATB,sodium alendronate,sodium alendronate (as alendronic acid 5mg)
228303ALQ,sodium alendronate,sodium alendronate (as alendronic acid 70mg)
228303ATB,sodium alendronate,sodium alendronate (as alendronic acid 70mg)
228305ATB,sodium alendronate,sodium alendronate (as alendronic acid 70mg)
109931ALQ,sodium alginate,sodium alginate 1g(50mg/mL)
109932ALQ,sodium alginate,sodium alginate 1.25g(50mg/mL)
109934ALQ,sodium alginate,sodium alginate 21g(50mg/mL)
109935ALQ,sodium alginate,sodium alginate 30g(50mg/mL)
109936ALQ,sodium alginate,sodium alginate 0.5g(50mg/mL)
109901ALQ,sodium alginate,sodium alginate 50mg
228502BIJ,sodium bicarbonate,sodium bicarbonate 1.68g(84mg/mL)
228503BIS,sodium bicarbonate,sodium bicarbonate 734.58g(58.3mg/mL)
228504BIS,sodium bicarbonate,sodium bicarbonate 650g
228506BIS,sodium bicarbonate,sodium bicarbonate 882g(70mg/mL)
228511BIS,sodium bicarbonate,sodium bicarbonate 367.29g(58.3mg/mL)
228515BIS,sodium bicarbonate,sodium bicarbonate 750g
228518BIS,sodium bicarbonate,sodium bicarbonate 900g
228519BIS,sodium bicarbonate,sodium bicarbonate 1058.4g(84mg/mL)
228522BIS,sodium bicarbonate,sodium bicarbonate 882g
228523BIS,sodium bicarbonate,sodium bicarbonate 720g
228526BIS,sodium bicarbonate,sodium bicarbonate 385g(70mg/mL)
228530BIS,sodium bicarbonate,sodium bicarbonate 15894g
228531BIS,sodium bicarbonate,sodium bicarbonate 16800g
228532BIS,sodium bicarbonate,sodium bicarbonate 760g
228508BIS,sodium bicarbonate,sodium bicarbonate 840g/10ug
228513BIS,sodium bicarbonate,sodium bicarbonate 1g
228514BIS,sodium bicarbonate,sodium bicarbonate 950g
228517BIS,sodium bicarbonate,sodium bicarbonate 700g
228524BIS,sodium bicarbonate,sodium bicarbonate 408.1g/7ug
312500AGN,sodium bicarbonate + tartaric acid,sodium bicarbonate 1.47g + tartaric acid 1.47g
499700AGN,sodium bicarbonate + tartaric acid,sodium bicarbonate 1.84g + tartaric acid 1.68g
228601COS,sodium carboxymethyl cellulose,sodium carboxymethyl cellulose 1.5mg
228602COS,sodium carboxymethyl cellulose,sodium carboxymethyl cellulose 2mg
228603COS,sodium carboxymethyl cellulose,sodium carboxymethyl cellulose 3mg
228604COS,sodium carboxymethyl cellulose,sodium carboxymethyl cellulose 4mg
228606COS,sodium carboxymethyl cellulose,sodium carboxymethyl cellulose 5mg
228607COS,sodium carboxymethyl cellulose,sodium carboxymethyl cellulose 10mg
228608COS,sodium carboxymethyl cellulose,sodium carboxymethyl cellulose 1.25mg
228609COS,sodium carboxymethyl cellulose,sodium carboxymethyl cellulose 2.5mg
228610COS,sodium carboxymethyl cellulose,sodium carboxymethyl cellulose 8.8mg
228611COS,sodium carboxymethyl cellulose,sodium carboxymethyl cellulose 4.4mg
228613COS,sodium carboxymethyl cellulose,sodium carboxymethyl cellulose 4.5mg
228701BIJ,sodium chloride,sodium chloride(3%) 15g(30mg/mL)
228703BIJ,sodium chloride,sodium chloride(11.7%) 2.34g(0.117g/mL)
228707BIJ,sodium chloride,sodium chloride(0.45%) 2.25g(4.5mg/mL)
228708BIJ,sodium chloride,sodium chloride(0.9%) 0.18g(9mg/mL)
228709BIJ,sodium chloride,sodium chloride(0.45%) 4.5g(4.5mg/mL)
228710BIJ,sodium chloride,sodium chloride(0.9%) 0.45g(9mg/mL)
228711BIJ,sodium chloride,sodium chloride(0.9%) 0.9g(9mg/mL)
228712BIJ,sodium chloride,sodium chloride(0.9%) 1.35g(9mg/mL)
228713BIJ,sodium chloride,sodium chloride(0.9%) 4.5g(9mg/mL)
228714BIJ,sodium chloride,sodium chloride(0.9%) 9g(9mg/mL)
228715BIJ,sodium chloride,sodium chloride(0.9%) 27g(9mg/mL)
228719BIJ,sodium chloride,sodium chloride(11.7%) 11.7g(0.117g/mL)
228722BIJ,sodium chloride,sodium chloride(0.9%) 1.8g(9mg/mL)
228726BIJ,sodium chloride,sodium chloride(0.9%) 2.25g(9mg/mL)
228728BIJ,sodium chloride,sodium chloride(0.9%) 0.27g(9mg/mL)
228740COS,sodium chloride,sodium chloride 20mg(20mg/mL)
228742COS,sodium chloride,sodium chloride 0.75g(50mg/mL)
228702CIS,sodium chloride,sodium chloride 4.5g
228723COS,sodium chloride,sodium chloride 20mg
228725BIJ,sodium chloride,sodium chloride(0.9%) 900mg/100ml
228727BIJ,sodium chloride,sodium chloride(0.9%) 450mg/50ml
228736BIJ,sodium chloride,sodium chloride(0.9%) 360mg/40ml
501000BIJ,sodium chloride + teicoplanin,sodium chloride(0.9%) 0.9g(9mg/mL)(100mLug) + teicoplanin 0.2g
328800BIJ,sodium chloride + tobramycin sulfate,sodium chloride 0.9mg + tobramycin sulfate 80mg
479800BIJ,sodium chloride + vancomycin hydrochloride,sodium chloride(0.9%) 0.9g(9mg/mL)(100mLug) + vancomycin hydrochloride 1g(ugugug)
391600COS,sodium chondroitin sulfate + sodium hyaluronate,sodium chondroitin sulfate 27.75mg(37mg/mL) + sodium hyaluronate 21.9mg(29.2mg/mL)
228834COS,sodium cromoglycate,sodium cromoglycate 0.1g(20mg/mL)
228835COS,sodium cromoglycate,sodium cromoglycate 0.12g(20mg/mL)
228838CLQ,sodium cromoglycate,sodium cromoglycate 0.2g(20mg/mL)
228802COS,sodium cromoglycate,sodium cromoglycate 20mg
228808COS,sodium cromoglycate,sodium cromoglycate 6mg
228809COS,sodium cromoglycate,sodium cromoglycate 16mg
228902ATB,sodium ferric gluconate complex,sodium ferric gluconate complex (as Fe III 62.5mg)
228931ALQ,sodium ferric gluconate complex,sodium ferric gluconate complex (as Fe III 62.5mg(6.25mg/mL))
228903ALQ,sodium ferric gluconate complex,sodium ferric gluconate complex 17.75mg
229101ATB,sodium fusidate,sodium fusidate 0.25g
530001COS,sodium hyaluronate,sodium hyaluronate 0.4mg(1mg/mL)
530002COS,sodium hyaluronate,sodium hyaluronate 0.5mg(1mg/mL)
530003COS,sodium hyaluronate,sodium hyaluronate 0.6mg(1mg/mL)
530004COS,sodium hyaluronate,sodium hyaluronate 0.7mg(1mg/mL)
530005COS,sodium hyaluronate,sodium hyaluronate 0.8mg(1mg/mL)
530006COS,sodium hyaluronate,sodium hyaluronate 0.88mg(1mg/mL)
530007COS,sodium hyaluronate,sodium hyaluronate 0.9mg(1mg/mL)
530008COS,sodium hyaluronate,sodium hyaluronate 1mg(1mg/mL)
530009COS,sodium hyaluronate,sodium hyaluronate 1.2mg(3mg/mL)
530010COS,sodium hyaluronate,sodium hyaluronate 1.26mg(1.8mg/mL)
530011COS,sodium hyaluronate,sodium hyaluronate 1.35mg(1.5mg/mL)
530012COS,sodium hyaluronate,sodium hyaluronate 1.44mg(1.8mg/mL)
530013COS,sodium hyaluronate,sodium hyaluronate 1.5mg(1.5mg/mL)
530015COS,sodium hyaluronate,sodium hyaluronate 1.8mg(1.8mg/mL)
530017COS,sodium hyaluronate,sodium hyaluronate 2.4mg(3mg/mL)
530018COS,sodium hyaluronate,sodium hyaluronate 2.7mg(3mg/mL)
530020COS,sodium hyaluronate,sodium hyaluronate 5mg(1mg/mL)
530021COS,sodium hyaluronate,sodium hyaluronate 6mg(1mg/mL)
530024BIJ,sodium hyaluronate,sodium hyaluronate 8.5mg(10mg/mL)
530025COS,sodium hyaluronate,sodium hyaluronate 9mg(1.5mg/mL)
530026BIJ,sodium hyaluronate,sodium hyaluronate 9.5mg(10mg/mL)
530028BIJ,sodium hyaluronate,sodium hyaluronate 10mg(10mg/mL)
530029COS,sodium hyaluronate,sodium hyaluronate 10mg(1mg/mL)
530031COS,sodium hyaluronate,sodium hyaluronate 12mg(1mg/mL)
530032BIJ,sodium hyaluronate,sodium hyaluronate 12.75mg(15mg/mL)
530034BIJ,sodium hyaluronate,sodium hyaluronate 13.8mg(23mg/mL)
530035BIJ,sodium hyaluronate,sodium hyaluronate 14mg(14mg/mL)
530036BIJ,sodium hyaluronate,sodium hyaluronate 14.25mg(15mg/mL)
530038BIJ,sodium hyaluronate,sodium hyaluronate 15mg(15mg/mL)
530039COS,sodium hyaluronate,sodium hyaluronate 15mg(3mg/mL)
530040BIJ,sodium hyaluronate,sodium hyaluronate 16.5mg(15mg/mL)
530042COS,sodium hyaluronate,sodium hyaluronate 18mg(1.8mg/mL)
530043BIJ,sodium hyaluronate,sodium hyaluronate 18mg(15mg/mL)
530044BIJ,sodium hyaluronate,sodium hyaluronate 18mg(18mg/mL)
530045BIJ,sodium hyaluronate,sodium hyaluronate 20mg(10mg/mL)
530046BIJ,sodium hyaluronate,sodium hyaluronate 25mg(10mg/mL)
530048COS,sodium hyaluronate,sodium hyaluronate 0.9mg(1.8mg/mL)
530049COS,sodium hyaluronate,sodium hyaluronate 9mg(1.8mg/mL)
530050COS,sodium hyaluronate,sodium hyaluronate 1.62mg(1.8mg/mL)
530052COS,sodium hyaluronate,sodium hyaluronate 0.3mg(1mg/mL)
530053COS,sodium hyaluronate,sodium hyaluronate 0.35mg(1mg/mL)
530054COS,sodium hyaluronate,sodium hyaluronate 7.5mg(1.5mg/mL)
530055COS,sodium hyaluronate,sodium hyaluronate 1.8mg(3mg/mL)
530056COS,sodium hyaluronate,sodium hyaluronate 1.125mg(1.5mg/mL)
530057COS,sodium hyaluronate,sodium hyaluronate 0.45mg(1.5mg/mL)
530058COS,sodium hyaluronate,sodium hyaluronate 0.525mg(1.5mg/mL)
530059COS,sodium hyaluronate,sodium hyaluronate 0.675mg(1.5mg/mL)
530060COS,sodium hyaluronate,sodium hyaluronate 0.75mg(1.5mg/mL)
530061COS,sodium hyaluronate,sodium hyaluronate 0.585mg(1.5mg/mL)
530062COS,sodium hyaluronate,sodium hyaluronate 0.9mg(3mg/mL)
530063COS,sodium hyaluronate,sodium hyaluronate 1.5mg(3mg/mL)
530064COS,sodium hyaluronate,sodium hyaluronate 1.35mg(3mg/mL)
530065COS,sodium hyaluronate,sodium hyaluronate 1.05mg(3mg/mL)
530066COS,sodium hyaluronate,sodium hyaluronate 1.17mg(3mg/mL)
530067COS,sodium hyaluronate,sodium hyaluronate 0.54mg(1.8mg/mL)
530068COS,sodium hyaluronate,sodium hyaluronate 0.72mg(1.8mg/mL)
530069COS,sodium hyaluronate,sodium hyaluronate 0.81mg(1.8mg/mL)
530070COS,sodium hyaluronate,sodium hyaluronate 0.702mg(1.8mg/mL)
530071COS,sodium hyaluronate,sodium hyaluronate 0.63mg(1.8mg/mL)
530072COS,sodium hyaluronate,sodium hyaluronate 0.45mg(1mg/mL)
530073COS,sodium hyaluronate,sodium hyaluronate 0.39mg(1mg/mL)
530074COS,sodium hyaluronate,sodium hyaluronate 0.6mg(1.5mg/mL)
530079COS,sodium hyaluronate,sodium hyaluronate 0.9mg(1.5mg/mL)
530080COS,sodium hyaluronate,sodium hyaluronate 1.05mg(1.5mg/mL)
530097BIJ,sodium hyaluronate,sodium hyaluronate 9.75mg(15mg/mL)
530099COS,sodium hyaluronate,sodium hyaluronate 0.495mg(1.5mg/mL)
5300A1COS,sodium hyaluronate,sodium hyaluronate 1.32mg(1.5mg/mL)
5300A4COS,sodium hyaluronate,sodium hyaluronate 18mg(1.8mg/mL)
229201BIJ,sodium hyaluronate,sodium hyaluronate 25mg
229203COS,sodium hyaluronate,sodium hyaluronate 11.9mg
229204COS,sodium hyaluronate,sodium hyaluronate 14mg
229205COS,sodium hyaluronate,sodium hyaluronate 1mg
229211COS,sodium hyaluronate,sodium hyaluronate 8.5mg
229213COS,sodium hyaluronate,sodium hyaluronate 15mg
229218COS,sodium hyaluronate,sodium hyaluronate 0.8mg
229219COS,sodium hyaluronate,sodium hyaluronate 9.5mg
229220COS,sodium hyaluronate,sodium hyaluronate 12.75mg
229222COS,sodium hyaluronate,sodium hyaluronate 0.4mg
229223COS,sodium hyaluronate,sodium hyaluronate 0.6mg
229225COS,sodium hyaluronate,sodium hyaluronate 1.2mg
229228BIJ,sodium hyaluronate,sodium hyaluronate 20mg
229230COS,sodium hyaluronate,sodium hyaluronate 13.8mg
229233COS,sodium hyaluronate,sodium hyaluronate 16.5mg
229235COS,sodium hyaluronate,sodium hyaluronate 0.5mg
229236COS,sodium hyaluronate,sodium hyaluronate 1.8mg
229237COS,sodium hyaluronate,sodium hyaluronate 0.7mg
229238COS,sodium hyaluronate,sodium hyaluronate 18mg/10ml
229245COS,sodium hyaluronate,sodium hyaluronate 0.9mg
229246COS,sodium hyaluronate,sodium hyaluronate 2.7mg
229247COS,sodium hyaluronate,sodium hyaluronate 1.5mg
229248COS,sodium hyaluronate,sodium hyaluronate 30mg
229250COS,sodium hyaluronate,sodium hyaluronate 0.88mg
229252COS,sodium hyaluronate,sodium hyaluronate 14.25mg
229257COS,sodium hyaluronate,sodium hyaluronate 2.1mg
229258COS,sodium hyaluronate,sodium hyaluronate 1.584mg
368610ATB,sodium iodide,sodium iodide(I-131) 3.7GBq(100mCi)
368613ATB,sodium iodide,sodium iodide(I-131) 1.11GBq(30mCi)
368614ATB,sodium iodide,sodium iodide(I-131) 1.85GBq(50mCi)
368617ATB,sodium iodide,sodium iodide(I-131) 5.55GBq(150mCi)
368627ATB,sodium iodide,sodium iodide(I-131) 2.96GBq(80mCi)
368628ALQ,sodium iodide,sodium iodide(I-123) 0.037GBq(1mCi)
368628BIJ,sodium iodide,sodium iodide(I-123) 0.037GBq(1mCi)
368641ATB,sodium iodide,sodium iodide(I-131) 4.81GBq(130mCi)
368647ATB,sodium iodide,sodium iodide(I-131) 6.66GBq(180mCi)
368601ATB,sodium iodide,sodium iodide(I-131) 0.9GBq(24mCi)
368603ATB,sodium iodide,sodium iodide(I-131) 2GBq(54mCi)
368605ATB,sodium iodide,sodium iodide(I-131) 3GBq(81mCi)
368607ATB,sodium iodide,sodium iodide(I-131) 4.5GBq(122mCi)
368609ATB,sodium iodide,sodium iodide(I-131) 6GBq(162mCi)
368612ATB,sodium iodide,sodium iodide(I-131) 7.4GBq(200mCi)
368615ATB,sodium iodide,sodium iodide(I-131) 0.185GBq(5mCi)
368616ALQ,sodium iodide,sodium iodide(I-131) 0.037GBq(1mCi)
368621ATB,sodium iodide,sodium iodide(I-131) 2.22GBq(60mCi)
229330BIJ,sodium nitroprusside,sodium nitroprusside 50mg(25mg/mL)
229301BIJ,sodium nitroprusside,sodium nitroprusside 50mg
476400BIJ,sodium oxydronate + sodium pertechnetate,sodium oxydronate 0.94mg + sodium pertechnetate(Tc-99m) 0.925GBq(25mCi)
476500BIJ,sodium oxydronate + sodium pertechnetate,sodium oxydronate 0.94mg + sodium pertechnetate(Tc-99m) 1.48GBq(40mCi)
476600BIJ,sodium oxydronate + sodium pertechnetate,sodium oxydronate 0.94mg + sodium pertechnetate(Tc-99m) 1.591GBq(43mCi)
476700BIJ,sodium oxydronate + sodium pertechnetate,sodium oxydronate 0.94mg + sodium pertechnetate(Tc-99m) 1.665GBq(45mCi)
368401BIJ,sodium pertechnetate,sodium pertechnetate(Tc-99m) 0.037GBq(1mCi)
368402BIJ,sodium pertechnetate,sodium pertechnetate(Tc-99m) 0.052GBq(1.4mCi)
382900BIJ,sodium pertechnetate + tetrakis coppertetrafluoroborate,sodium pertechnetate(Tc-99m) 1.665GBq(45mCi) + tetrakis copper(I)tetrafluoroborate 0.3mg
473900BIJ,sodium pertechnetate + tetrofosmin sulfosalicylate,sodium pertechnetate(Tc-99m) 0.888GBq(24mCi) + tetrofosmin sulfosalicylate 0.12mg
474100BIJ,sodium pertechnetate + tetrofosmin sulfosalicylate,sodium pertechnetate(Tc-99m) 1.776GBq(48mCi) + tetrofosmin sulfosalicylate 0.16mg
474901ATB,sodium phenylbutyrate,sodium phenylbutyrate 0.5g
474931AGN,sodium phenylbutyrate,sodium phenylbutyrate 84.042g(0.483g/g)
370001BIJ,sodium phytate,sodium phytate 5mg
387402ATB,sodium picosulfate,sodium picosulfate 7.5mg
369901BIJ,sodium pyrophosphate,sodium pyrophosphate 20mg
360530BIJ,sodium thiosulfate,sodium thiosulfate 12.5g(0.25g/mL)
360501BIJ,sodium thiosulfate,sodium thiosulfate 12.5g
229601ATB,sodium tianeptine,sodium tianeptine 12.5mg
229701ATR,sodium valproate,sodium valproate 0.15g
229703ATB,sodium valproate,sodium valproate 0.2g
229704BIJ,sodium valproate,sodium valproate 0.4g
229705ATR,sodium valproate,sodium valproate 0.3g
229706ATR,sodium valproate,sodium valproate 0.5g
229707ATR,sodium valproate,sodium valproate 0.6g
229730BIJ,sodium valproate,sodium valproate 0.15g(0.1g/mL)
229734ASY,sodium valproate,sodium valproate 9g(60mg/mL)
229702BIJ,sodium valproate,sodium valproate 300mg
229705ATB,sodium valproate,sodium valproate 300mg
229706BIJ,sodium valproate,sodium valproate(as valproic acid) 500mg
229708ASY,sodium valproate,sodium valproate 60mg
644401ATB,sofosbuvir,sofosbuvir 0.4g
230001COO,solcosery,solcoseryl120 ext. 70.05mg
230001COS,solcosery,solcoseryl120 ext. 70.05mg
230002COS,solcosery,solcoseryl120 ext. 28.02mg
230003COS,solcosery,solcoseryl120 ext. 42.03mg
230030COS,solcoseryl,solcoseryl 120 concentrated 28.02mg(70.05mg/mL)
230031COS,solcoseryl,solcoseryl 120 concentrated 42.03mg(70.05mg/mL)
230033COO,solcoseryl,solcoseryl 120 concentrated 0.35025g(70.05mg/g)
230034COS,solcoseryl,solcoseryl 120 concentrated 0.35025g(70.05mg/mL)
230036COS,solcoseryl,solcoseryl 120 concentrated 35.025mg(70.05mg/mL)
230037COS,solcoseryl,solcoseryl 120 concentrated 31.5225mg(70.05mg/mL)
655601ATB,solifenacin fumarate,solifenacin fumarate 9.96mg
655602ATB,solifenacin fumarate,solifenacin fumarate 4.98mg
493801ATB,solifenacin succinate,solifenacin succinate 5mg
493801ATD,solifenacin succinate,solifenacin succinate 5mg
493802ATB,solifenacin succinate,solifenacin succinate 10mg
493802ATD,solifenacin succinate,solifenacin succinate 10mg
657401ATB,solifenacin tartrate,solifenacin tartrate 5.33mg
657402ATB,solifenacin tartrate,solifenacin tartrate 10.66mg
230202BIJ,somatostatin acetate,somatostatin acetate (as somatostatin 3mg)
348405BIJ,somatropin,somatropin 16I.U
348409BIJ,somatropin,somatropin 12.96I.U
348415BIJ,somatropin,somatropin 72I.U
348430BIJ,somatropin,somatropin 4I.U(8I.U/mL)
348431BIJ,somatropin,somatropin 12I.U(8I.U/mL)
348432BIJ,somatropin,somatropin 15I.U(10I.U/mL)
348433BIJ,somatropin,somatropin 16I.U(8I.U/mL)
348434BIJ,somatropin,somatropin 18.0147I.U(17.49I.U/mL)
348435BIJ,somatropin,somatropin 30I.U(20I.U/mL)
348439BIJ,somatropin,somatropin 36I.U(21.3018I.U/mL)
348402BIJ,somatropin,somatropin 4I.U
348404BIJ,somatropin,somatropin 12I.U
348406BIJ,somatropin,somatropin 18.0147I.U
348408BIJ,somatropin,somatropin 24I.U
348411BIJ,somatropin,somatropin 15I.U
348412BIJ,somatropin,somatropin 30I.U
488001ATB,sorafenib tosylate,sorafenib tosylate (as sorafenib 0.2g)
230301BIJ,sorbitol,sorbitol(5%) 25g/500ml
230402ATB,sotalol hydrochloride,sotalol hydrochloride 40mg
230503BIJ,soybean oil,soybean oil(10%) 50g(0.1g/mL)
230504BIJ,soybean oil,soybean oil(20%) 50g(0.2g/mL)
230801BIJ,spectinomycin hydrochloride,spectinomycin hydrochloride 2g
459701AGN,spherical adsorptive carbon,spherical adsorptive carbon 2g
459702ATB,spherical adsorptive carbon,spherical adsorptive carbon 0.2857g
231102ATB,spironolactone,spironolactone 50mg
149901ATB,St. John's Wort,St. John's Wort 50% ethanol ext. (as hypericin 50ug)
172601ATB,St. John's Wort,St. John's Wort 80% methanol ext. 0.3g
231301ATB,standardized lyophilizate of bacterial lysate,standardized lyophilizate of bacterial lysate 43mg
235101ATB,standardized lyophilized bacterial lysates of E.coli,standardized lyophilized bacterial lysates of E.coli 60mg (as lyophilized bacterial lysates 6mg)
186701ATB,standardized lyophilized mixed bacterial lysates,standardized lyophilized mixed bacterial lysates 20mg (as lyophilized bacterial lysates 3.5mg)
186702ATB,standardized lyophilized mixed bacterial lysates,standardized lyophilized mixed bacterial lysates 40mg (as lyophilized bacterial lysates 7mg)
186703ATL,standardized lyophilized mixed bacterial lysates,standardized lyophilized mixed bacterial lysates(as lyophilized bacterial lysates 7mg) 50mg
509101ATB,stiripentol,stiripentol 0.5g
231801AGN,streptococcus faecium strain cernelle,streptococcus faecium strain cernelle-68 10mg
231802AGN,streptococcus faecium strain cernelle,streptococcus faecium strain cernelle-68 30mg
231901BIJ,streptococcus pyogenese,streptococcus pyogenese 14mg
231902BIJ,streptococcus pyogenese,streptococcus pyogenese 2.8mg
438901ATB,"streptokinase·streptodornase	streptokinase·streptodornase (streptokinase 10KI.U, streptodornase 2.5KI.U) 12.5KI.U""",
232101BIJ,streptomycin sulfate,streptomycin sulfate 1g
369201BIJ,strontium chloride,strontium chloride(Sr-89) 0.037GBq(1mCi)
232301ASY,sucralfate,sucralfate 1g
232302ATB,sucralfate,sucralfate 0.25g
232402AOM,sucralfate gel,sucralfate gel(sucralfate 2g) 6.061g
232530BIJ,sufentanil citrate,sufentanil citrate (as sufentanil 75ug(75ug/mL))
232531BIJ,sufentanil citrate,sufentanil citrate (as sufentanil 0.375mg(75ug/mL))
232502BIJ,sufentanil citrate,sufentanil citrate 375ug
232503BIJ,sufentanil citrate,sufentanil citrate 75ug
311500ATB,sulfamethoxazole + trimethoprim,sulfamethoxazole 0.4g + trimethoprim 80mg
232801ATE,sulfasalazine,sulfasalazine 0.5g
233001ATB,sulfomucopolysaccharide,sulfomucopolysaccharide 200I.U
233102ATB,sulglycotide,sulglycotide 0.2g
233201ATB,sulindac,sulindac 0.1g
233203ATB,sulindac,sulindac 0.2g
233303ATB,sulodexide,sulodexide 250I.U
233401ATB,sulpiride,sulpiride 0.2g
233501BIJ,sulprostone,sulprostone 0.5mg
233701ATB,sultamicillin tosylate,sultamicillin tosylate (as sultamicillin 0.375g)
233802ATB,sumatriptan succinate,sumatriptan succinate (as sumatriptan 50mg)
233803ATB,sumatriptan succinate,sumatriptan succinate (as sumatriptan 25mg)
487701ATB,sunitinib malate,sunitinib malate 12.5mg
487702ATB,sunitinib malate,sunitinib malate 25mg
487703ATB,sunitinib malate,sunitinib malate 50mg
234002BIJ,suxamethonium chloride,suxamethonium chloride 0.2g
234003BIJ,suxamethonium chloride,suxamethonium chloride 0.5g
234030BIJ,suxamethonium chloride,suxamethonium chloride 0.1g(50mg/mL)
234004BIJ,suxamethonium chloride,suxamethonium chloride 100mg
234005BIJ,suxamethonium chloride,suxamethonium chloride 250mg
421231COM,tacalcitol,tacalcitol (as tacalcitol 0.2mg(20ug/g))
421201CLT,tacalcitol,tacalcitol 2.087ug
